state,region,ETC_mean,ETC_std,bandwidth_mean,bandwidth_std,max_scale_mean,max_scale_std,fluctuation_mean,fluctuation_std,mean_entropy_mean,mean_entropy_std
Anesthetized_Region_State,LP,26.029444444444444,1.3074981740729172,9.975555555555555,0.7107161096914961,24.66916666666667,4.913871009262308,4.2266981586764025,1.1314669277185092,0.07060674972385828,0.04654665361218372
Anesthetized_Region_State,MP,25.846999999999998,1.1811905800677043,9.837,0.5062433929261257,25.351333333333333,5.040675723691458,4.269200943378722,1.2538888515118254,0.06945600426510971,0.0398949687907211
Anesthetized_Region_State,PC,25.588571428571427,1.4200068327476991,9.646011904761904,0.6663143967613844,25.212142857142858,4.570855990927292,4.035587691521752,1.1687546481607105,0.06417759754736305,0.044035096531052365
Anesthetized_Region_State,TC,26.066031746031747,1.1473717718812535,9.982063492063492,0.5484776696248883,24.198452380952382,3.344321357531608,4.093315998465128,0.7720240252246037,0.07386035970083744,0.04864042830982694
Awake_Region_State,LP,26.775277777777777,0.9744450913379546,9.495555555555557,0.36117962554433986,19.671388888888888,2.7556329770500825,3.021476345609376,0.5550763907174129,0.13823132096479726,0.049409323840326154
Awake_Region_State,MP,26.559666666666665,0.7695078036556903,9.450999999999999,0.3288072950652645,19.500999999999998,1.4842651551685282,2.85876366180761,0.31997316912528084,0.13033475614644904,0.03242935428002622
Awake_Region_State,PC,25.864285714285714,0.5835751257214238,9.679761904761905,0.6171580555178733,20.773214285714285,1.9529525027596761,3.1216325478947273,0.5929303040877811,0.10865945583774125,0.0399144800854704
Awake_Region_State,TC,26.956031746031744,1.0461657564709448,9.679246031746032,0.5092691864650444,19.140515873015875,2.559919108752863,2.980011643606319,0.5570467065994156,0.14778313991819864,0.05852013697384064
Sleep_Region_State,LP,26.269722222222224,0.9358948489205582,9.785277777777777,0.41069840459328294,20.125555555555554,2.3746691050424644,3.1583094651952135,0.5040376651252256,0.11965987863311757,0.04736989444262751
Sleep_Region_State,MP,25.74233333333333,0.7136736344416653,9.756,0.30133713311938526,20.858999999999998,1.8178602620122903,3.1766226241233677,0.39689269055934295,0.10234412462419638,0.030342049582004392
Sleep_Region_State,PC,25.550059523809523,0.6749087117083746,9.908630952380951,0.6401011314790002,21.08809523809524,1.6710264808184372,3.1963020925518055,0.5931922040185302,0.10233499591966821,0.03585575549030609
Sleep_Region_State,TC,26.24238095238095,0.8194777808778889,10.055793650793651,0.4824414905652281,19.74809523809524,1.6456865716921834,3.1572486006606773,0.4026046420970519,0.12014004897063997,0.044145364231245626
