state,region,ETC_mean,ETC_std,bandwidth_mean,bandwidth_std,max_scale_mean,max_scale_std,fluctuation_mean,fluctuation_std,mean_entropy_mean,mean_entropy_std
Anesthetized_Region_State,LP,26.833333333333332,2.1079081659688566,10.708333333333334,0.478802059758914,22.756666666666668,6.3454338759021285,4.455413575953928,1.3274450208817845,0.08595078765336008,0.06809735763141321
Anesthetized_Region_State,MP,26.921666666666667,1.2982506700402234,10.74,0.4899671382962019,25.148333333333333,6.041705104105276,4.914402588532681,1.1662934340853048,0.06806518332720793,0.03412204416725895
Anesthetized_Region_State,PC,26.578333333333333,2.1976946061545726,10.648333333333333,0.5127168137222013,23.408333333333335,6.573297077059337,4.425819733007382,1.0455477799713988,0.07574357998377086,0.05883683057914206
Anesthetized_Region_State,TC,27.995,2.1076474956931706,10.491666666666667,0.5909749676842315,20.721666666666668,4.781606412807901,4.006600682726313,0.9895293145161145,0.10320320114898301,0.07052881822995345
Awake_Region_State,LP,26.290000000000003,2.813327844265938,10.258333333333333,0.49034462687720426,24.421666666666667,12.446469673953045,4.654827691400668,2.4799463021868338,0.11901320786558417,0.09990488682916247
Awake_Region_State,MP,28.276666666666664,0.8822864492505106,10.511666666666667,0.5005392572242452,15.808333333333334,1.6557339165034604,3.080482624850511,0.3572778758085007,0.16742998598942355,0.036595000123330404
Awake_Region_State,PC,27.136666666666667,1.3456731245707823,10.913333333333332,0.7174499726648799,17.598333333333336,3.6876105748048347,3.4021405126438484,0.7015833910714322,0.13326500139642355,0.05960182446477471
Awake_Region_State,TC,28.013333333333332,1.605337143603414,10.743333333333334,0.665459358783157,16.505,3.1378728085618564,3.1977913307454107,0.6403924781885673,0.17758787074073715,0.08071188075898907
Sleep_Region_State,LP,26.884999999999998,1.9564603977938302,10.733333333333333,0.6291416446552787,19.728333333333335,5.62979638571705,3.7884736974252404,1.0918787070871452,0.12076627798507585,0.08068432533701986
Sleep_Region_State,MP,27.623333333333335,0.8302269786981094,10.796666666666665,0.44871442228700603,17.116666666666667,1.7919941232752725,3.432645014941821,0.4161122243146962,0.13987026152530985,0.03668368895940508
Sleep_Region_State,PC,26.753333333333334,1.4461482056720054,10.983333333333333,0.4927152946498827,18.006666666666668,3.457434468987755,3.5964808744126446,0.7205122625330865,0.12358390582186254,0.05487423666063961
Sleep_Region_State,TC,27.485,1.1313446327119356,10.885,0.5839157705685336,16.631666666666668,2.230109191418599,3.281238978353042,0.5018231192723819,0.151112206042657,0.05797629605837375
